# BEAST v1.8.2, r6687
# Generated Wed Dec 09 10:39:01 PST 2015 [seed=1449686340227]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	treeLikelihood	skyline
4000000	-6380.573025762937	-4097.157588010403	-2283.4154377525333	831.5552909951115	53256.57226556348	15646.281468257866	1650.5748115779434	1112.8490928304545	2015.2525179855095	2711.3847799682176	7078.839650444675	2063.569183216902	173.53839794238598	372.9811736285777	17.0	2.0	20.0	7.0	15.0	79.0	3.0	21.0	26.0	8.0	3.6721307103349923	0.4098393031817792	0.14636391299792398	0.17373812813717346	0.27005865568312254	1.600911290586409E-5	-2283.4154377525333	-1711.0181839130396
4100000	-6397.410661406842	-4101.039990623955	-2296.3706707828865	1421.5895383980053	86530.29305928953	6459.330389011646	1588.1406028109152	1689.2329069570706	7957.697811764066	4907.663761474814	635.1837135121722	1367.7513320172598	837.1935514369471	430.50728617282175	14.0	2.0	17.0	53.0	20.0	11.0	11.0	37.0	4.0	29.0	3.231974835516886	0.40279366171024245	0.15036957418443717	0.19371390057668714	0.25312286352863245	1.4579719098212568E-5	-2296.3706707828865	-1713.932279565746
4200000	-6450.500161002772	-4172.523412353347	-2277.9767486494243	1357.6199175687111	62938.91466326731	26216.380208392417	7273.876467633107	4033.337436140018	2198.57211361785	8515.110951706874	1513.451605637776	459.3467046865959	287.09633618843	304.5921615113184	22.0	5.0	22.0	36.0	29.0	23.0	3.0	33.0	16.0	9.0	3.1383117129510927	0.4219758007845421	0.1433308419148292	0.18755201609882755	0.24714134120180026	1.2945530459886896E-5	-2277.9767486494243	-1786.7624540978486
4300000	-6522.53743915043	-4224.650947483133	-2297.886491667298	1334.1223944813398	35170.583891182505	44293.80926560671	10438.084805397582	7435.912022996076	4481.087370813767	6466.82895243294	872.5972868712798	1317.3876568317019	132.37552507906804	199.46715039163246	1.0	25.0	8.0	27.0	54.0	27.0	15.0	15.0	10.0	16.0	3.637420206794615	0.4007401049202755	0.16123935480365315	0.16283618209091288	0.2751843581851576	1.3962487387771153E-5	-2297.886491667298	-1838.5532895417502
4400000	-6472.118306690773	-4179.432574505092	-2292.6857321856814	1049.2657877288082	51204.926478323716	11143.926798151733	6402.357585052153	2893.3583558733917	3427.311073342234	1799.3614847143592	4088.649786981153	1811.4641084205932	234.03514705569987	332.2587968567647	23.0	23.0	9.0	6.0	65.0	13.0	17.0	1.0	9.0	32.0	4.429719229692041	0.4429421218509059	0.13559079307961802	0.158024212093958	0.2634428729755172	1.2886508162937334E-5	-2292.6857321856814	-1794.5399776929028
4500000	-6597.314916159365	-4323.720511548529	-2273.594404610835	1834.395888270355	80403.90779069756	40319.30621455215	4200.732754079994	8502.116477745201	8214.176707054223	10857.675914578098	4050.3006393596297	6624.071391562122	3270.8022885125242	797.3366770223735	27.0	13.0	13.0	5.0	46.0	3.0	30.0	9.0	13.0	39.0	2.325353797837935	0.4242382978805884	0.15782069060917897	0.17796789444512	0.23997311706511174	9.194189237711632E-6	-2273.594404610835	-1926.8502705408011
4600000	-6331.9256954259545	-4065.4746752368073	-2266.451020189147	826.8227454718628	53471.205082010165	53534.9187333951	3167.2114909654524	1434.3154397789426	568.7870017320184	135.96870253375914	1012.8803245898638	2230.987538532026	482.2060155963182	725.9184457870219	29.0	5.0	13.0	6.0	44.0	6.0	27.0	39.0	10.0	19.0	3.30046077162128	0.42023094527011845	0.15144673446115184	0.1786012560681497	0.24972106420057924	1.5356458745161172E-5	-2266.451020189147	-1678.7158014496383
4700000	-6444.675414815778	-4170.657308026055	-2274.0181067897224	1432.8061879370325	98636.6893411392	11766.00309065857	2394.6403796814566	950.9065326560108	908.2428237254067	1591.7310442476005	6424.529879758142	1285.3407894227419	2988.2977750679347	531.5608920519628	23.0	27.0	9.0	14.0	36.0	13.0	2.0	5.0	43.0	26.0	3.083747300214015	0.40572906621479143	0.15118580565769957	0.18824973830809852	0.2548353898194096	1.0126495107011517E-5	-2274.0181067897224	-1781.0826506222513
4800000	-6397.307327455639	-4110.813077662887	-2286.4942497927523	1292.5501508639857	52389.34606368446	48522.92915273977	1884.453893828247	2349.620562391226	5504.207860940312	1723.1279038032465	420.1805139423528	1055.9218702883286	1928.8116099940933	337.6711724348037	2.0	22.0	42.0	4.0	24.0	9.0	17.0	14.0	33.0	31.0	3.9467370625597193	0.3833395652611636	0.1651991069128927	0.19131744345766627	0.2601438843682765	1.4821463704986758E-5	-2286.4942497927523	-1723.6098832555726
4900000	-6449.8300504780955	-4174.988219676266	-2274.841830801829	1381.8120138416393	53884.97313009085	22676.270551074816	22097.337928401557	4331.9875518955	4557.78873140558	1184.4638773025329	980.4813967462364	1663.4581318482126	1130.6322540923288	345.1412817385724	10.0	44.0	4.0	2.0	39.0	25.0	28.0	6.0	14.0	26.0	3.8588417618869486	0.4338426374319878	0.15657427098467253	0.1779216507110989	0.23166144087223978	1.4962467186210037E-5	-2274.841830801829	-1788.389504599859
5000000	-6519.762876021812	-4226.159468512948	-2293.603407508864	645.3223839376413	48136.1951468795	22562.34250560955	3252.5891943319734	6482.0678173614515	8722.706959270487	5643.539028535335	2731.326027896827	209.8696787772553	316.4333439113575	111.35455031125515	7.0	40.0	18.0	13.0	26.0	45.0	11.0	6.0	31.0	1.0	2.902136530309383	0.428489783041404	0.13380538520742502	0.17886266889128863	0.25884216285988126	1.2777325329775011E-5	-2293.603407508864	-1841.4108697531663
5100000	-6573.964868690556	-4284.838964967901	-2289.1259037226546	1731.2919707484527	86743.54980279229	52477.982081040995	16881.1665626974	3899.4931423506946	11471.739198524809	1774.0730670886169	1617.1918967746194	3481.5660893057134	168.1820808802533	623.4803331590248	19.0	14.0	6.0	9.0	44.0	50.0	4.0	26.0	19.0	7.0	2.7257368381579394	0.4079297508677887	0.16685085020296886	0.18998611407415147	0.23523328485508993	8.366388248546376E-6	-2289.1259037226546	-1888.1711997732486
